remume_versao;codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;apresentacao;local_dispensacao;restricao;via_administracao;situacao
23/09/2026;BAR-3DC5D6;Abacavir (ABC) - comprimido 300 mg;Abacavir (ABC);300 mg;comprimido;;CTA/CEM;;oral;ativo
23/09/2026;BAR-1CA23A;Abacavir (ABC) - solução oral 20 mg/mL;Abacavir (ABC);20 mg/mL;solução oral;;CTA/CEM;;oral;ativo
23/09/2026;BAR-2253A5;Aciclovir - comprimido 200 mg;Aciclovir;200 mg;comprimido;;CTA/CEM;;oral;ativo
23/09/2026;BAR-FAD6CD;Ácido acetilsalicílico - comprimido 100 mg;Ácido acetilsalicílico;100 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-31E453;Ácido Acetilsalicílico 100 mg - comprimido;Ácido Acetilsalicílico;100 mg;comprimido;;UPA;;oral;ativo
23/09/2026;BAR-D25F33;Ácido ascórbico (vitamina C) 100 mg/mL-5 mL - ampola;Ácido ascórbico (vitamina C);100 mg/mL;;ampola;UPA;;;ativo
23/09/2026;BAR-039320;Ácido fólico - comprimido 5 mg;Ácido fólico;5 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-0A3B61;Ácido folínico - comprimido 15 mg;Ácido folínico;15 mg;comprimido;;CTA/CEM;;oral;ativo
23/09/2026;BAR-B2EA2E;Ácido tranexâmico 50 mg-5 mL - ampola;Ácido tranexâmico;50 mg;;ampola;UPA;;;ativo
23/09/2026;BAR-5A5A3E;Ácido valpróico - cápsula 250 mg;Ácido valpróico;250 mg;cápsula;;UBS;;oral;ativo
23/09/2026;BAR-37FA14;Ácido valpróico - comprimido 500 mg;Ácido valpróico;500 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-A140E9;Ácido valpróico - solução oral/xarope 50 mg/mL;Ácido valpróico;50 mg/mL;solução oral;;UBS;;oral;ativo
23/09/2026;BAR-719C0D;Adenosina 3 mg/mL -2 mL - ampola;Adenosina;3 mg/mL;;ampola;UPA;;;ativo
23/09/2026;BAR-7A24E6;Adrenalina (epinefrina), cloridrato ou hemitartarato - solução injetável 1mg/mL;Adrenalina (epinefrina), cloridrato ou hemitartarato;1mg/mL;solução injetável;;CTA/CEM/UBS/CAPS;;injetável;ativo
23/09/2026;BAR-9EA173;Adrenalina 1 mg - 1 mL - ampola;Adrenalina;1 mg;;ampola;UPA;;;ativo
23/09/2026;BAR-F6A78D;Água Destilada 10 mL - ampola;Água Destilada;10 mL;;ampola;UPA;;;ativo
23/09/2026;BAR-ADA8EF;Água Destilada 500 mL - ampola;Água Destilada;500 mL;;ampola;UPA;;;ativo
23/09/2026;BAR-30FB17;Água para injeção - solução injetável ampola 10 mL;Água para injeção;10 mL;solução injetável;ampola 10 mL;CTA/CEM/UBS/CAPS;;injetável;ativo
23/09/2026;BAR-16986C;Albendazol - comprimido mastigável 400 mg;Albendazol;400 mg;comprimido mastigável;;UBS;;oral;ativo
23/09/2026;BAR-A7BC42;Albendazol - solução oral 40 mg/mL;Albendazol;40 mg/mL;solução oral;;UBS;;oral;ativo
23/09/2026;BAR-0EB453;Alendronato de sódio - comprimido 70 mg;Alendronato de sódio;70 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-7191B6;Alopurinol - comprimido 100 mg;Alopurinol;100 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-C8F5B0;Alopurinol - comprimido 300 mg;Alopurinol;300 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-09D131;Alteplase 50 mg - frasco/ampola;Alteplase;50 mg;;ampola;UPA;;;ativo
23/09/2026;BAR-35E569;Aminofilina 24 mg/mL-10 mL - ampola;Aminofilina;24 mg/mL;;ampola;UPA;;;ativo
23/09/2026;BAR-E8EB06;Amiodarona cloridrato 200 mg - comprimido;Amiodarona cloridrato;200 mg;comprimido;;UPA;;oral;ativo
23/09/2026;BAR-41EE92;Amiodarona cloridrato 50 mg/mL - 3 mL - ampola;Amiodarona cloridrato;50 mg/mL;;ampola;UPA;;;ativo
23/09/2026;BAR-F44473;Amiodarona, cloridrato - comprimido 200 mg;Amiodarona, cloridrato;200 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-F69220;Amiodarona, cloridrato - solução injetável 50mg/mL;Amiodarona, cloridrato;50mg/mL;solução injetável;;CTA/CEM/UBS/CAPS;;injetável;ativo
23/09/2026;BAR-60F3C0;Amitriptilina, cloridrato - comprimido 25 mg;Amitriptilina, cloridrato;25 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-36878C;Amoxicilina + clavulanato de potássio - comprimido 500 mg + 125 mg;Amoxicilina + clavulanato de potássio;500 mg + 125 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-2CBF55;Amoxicilina + clavulanato de potássio - pó para suspensão oral amoxicilina 250 mg/5mL + clavulanato de potássio 62,5mg/5mL;Amoxicilina + clavulanato de potássio;250 mg/5mL;pó para suspensão oral;;UBS;;oral;ativo
23/09/2026;BAR-66EA5D;Amoxicilina + Clavulanato de Potássio 1 g EV - ampola;Amoxicilina + Clavulanato de Potássio;1 g;;ampola;UPA;;;ativo
23/09/2026;BAR-A5D58A;Amoxicilina - cápsula 500 mg;Amoxicilina;500 mg;cápsula;;UBS;;oral;ativo
23/09/2026;BAR-35A766;Amoxicilina - pó para suspensão oral 50 mg/mL;Amoxicilina;50 mg/mL;pó para suspensão oral;;UBS;;oral;ativo
23/09/2026;BAR-930813;Ampicilina 1 g - ampola;Ampicilina;1 g;;ampola;UPA;;;ativo
23/09/2026;BAR-16FD70;Anfotericina B - pó para solução injetável 50 mg em lipossomas de fosfatidilcolina hidrogenada fr-amp.;Anfotericina B;50 mg;pó para solução injetável;;CTA/CEM;;injetável;ativo
23/09/2026;BAR-0A73B1;Anlodipino 10 mg - comprimido;Anlodipino;10 mg;comprimido;;UPA;;oral;ativo
23/09/2026;BAR-B8C77A;Anlodipino, besilato - comprimido 10 mg;Anlodipino, besilato;10 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-56591B;Anlodipino, besilato - comprimido 5 mg;Anlodipino, besilato;5 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-C6F2C7;Atazanavir, sulfato (ATV) - cápsula 200 mg;Atazanavir, sulfato (ATV);200 mg;cápsula;;CTA/CEM;;oral;ativo
23/09/2026;BAR-2A36B0;Atazanavir, sulfato (ATV) - cápsula 300 mg;Atazanavir, sulfato (ATV);300 mg;cápsula;;CTA/CEM;;oral;ativo
23/09/2026;BAR-59AC23;Atenolol - comprimido 50 mg;Atenolol;50 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-F3DE18;Atenolol 50 mg - comprimido;Atenolol;50 mg;comprimido;;UPA;;oral;ativo
23/09/2026;BAR-F97345;Atropina sulfato 0,25 mg - 1 mL - ampola;Atropina sulfato;0,25 mg;;ampola;UPA;;;ativo
23/09/2026;BAR-C68E3D;Atropina, sulfato - solução injetável 0,25 mg/mL;Atropina, sulfato;0,25 mg/mL;solução injetável;;CTA/CEM/UBS/CAPS;;injetável;ativo
23/09/2026;BAR-351A61;Azitromicina - comprimido 500 mg;Azitromicina;500 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-84CF62;Azitromicina - suspensão oral 40 mg/mL;Azitromicina;40 mg/mL;suspensão oral;;UBS;;oral;ativo
23/09/2026;BAR-E3108F;Azitromicina 500 mg - comprimido;Azitromicina;500 mg;comprimido;;UPA;;oral;ativo
23/09/2026;BAR-9321B1;Beclometasona, dipropionato - aerossol oral 250mcg/dose;Beclometasona, dipropionato;250mcg/dose;aerossol;;UBS;;inalatória;ativo
23/09/2026;BAR-7A4B95;Beclometasona, dipropionato - aerossol oral 50 mcg /dose;Beclometasona, dipropionato;50 mcg;aerossol;;UBS;;inalatória;ativo
23/09/2026;BAR-C24DEF;Beclometasona, dipropionato - spray nasal 50 mcg/dose;Beclometasona, dipropionato;50 mcg/dose;spray;;UBS;;nasal;ativo
23/09/2026;BAR-E2961F;Benzilpenicilina Benzatina 1.200.000 UI - frasco/ampola;Benzilpenicilina Benzatina;1.200.000 UI;;ampola;UPA;;;ativo
23/09/2026;BAR-DE8FE0;Benzilpenicilina Potássica 6.000.000 UI - frasco/ampola;Benzilpenicilina Potássica;6.000.000 UI;;ampola;UPA;;;ativo
23/09/2026;BAR-0D5811;Bicarbonato de sódio - solução injetável 84 mg/mL (8,4% - 1 mEq/mL);Bicarbonato de sódio;84 mg/mL;solução injetável;;CTA/CEM/UBS/CAPS;;injetável;ativo
23/09/2026;BAR-EAC484;Bicarbonato de Sódio 8,4%- 250 mL - ampola;Bicarbonato de Sódio;8,4%;;ampola;UPA;;;ativo
23/09/2026;BAR-EB4A42;Bicarbonato de Sódio 8,4%-10 mL - ampola;Bicarbonato de Sódio;8,4%;;ampola;UPA;;;ativo
23/09/2026;BAR-93B134;Biperideno 5 mg/1 mL - ampola;Biperideno;5 mg/1 mL;;ampola;UPA;;;ativo
23/09/2026;BAR-A4CDAD;Biperideno, cloridrato - comprimido 2 mg;Biperideno, cloridrato;2 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-0365A1;Biperideno, lactato - solução injetável 5 mg/mL;Biperideno, lactato;5 mg/mL;solução injetável;;CTA/CEM/UBS/CAPS;;injetável;ativo
23/09/2026;BAR-55CDAB;Bromoprida 5 mg/mL-2 mL - ampola;Bromoprida;5 mg/mL;;ampola;UPA;;;ativo
23/09/2026;BAR-9CAFA1;Budesonida - aquoso nasal 50 mcg;Budesonida;50 mcg;aquoso nasal;;UBS;;nasal;ativo
23/09/2026;BAR-592732;Bupropiona, cloridrato - comprimido 150 mg;Bupropiona, cloridrato;150 mg;comprimido;;CAF;;oral;ativo
23/09/2026;BAR-A46D87;Captopril - comprimido 25 mg;Captopril;25 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-A84304;Captopril 25 mg - comprimido;Captopril;25 mg;comprimido;;UPA;;oral;ativo
23/09/2026;BAR-3F986F;Carbamazepina - comprimido 200 mg;Carbamazepina;200 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-2FA3A9;Carbamazepina - solução oral 20 mg/mL;Carbamazepina;20 mg/mL;solução oral;;UBS;;oral;ativo
23/09/2026;BAR-1247BC;Carbonato de cálcio + colecalciferol (vit. D) - comprimido equivalente a 500 mg de Ca++ e 400 UI de vitamina D;Carbonato de cálcio + colecalciferol (vit. D);500 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-09EAAE;Carbonato de cálcio - comprimido 1.250 mg (equivalente a 500 mg de Ca++);Carbonato de cálcio;1.250 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-F09BBF;Carbonato de lítio - comprimido 300 mg;Carbonato de lítio;300 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-A95C43;Carvão ativado pote 30 g - pó;Carvão ativado pote;30 g;pó;pote 30 g;UPA;;;ativo
23/09/2026;BAR-148D0F;Carvedilol - comprimido 12,5 mg;Carvedilol;12,5 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-FE7EBF;Carvedilol - comprimido 25 mg;Carvedilol;25 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-B3E2A0;Carvedilol - comprimido 3,125 mg;Carvedilol;3,125 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-FC0BDD;Carvedilol - comprimido 6,25 mg;Carvedilol;6,25 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-454896;Cefalexina - comprimido 500 mg;Cefalexina;500 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-63ADA1;Cefalexina - suspensão oral 50 mg/mL;Cefalexina;50 mg/mL;suspensão oral;;UBS;;oral;ativo
23/09/2026;BAR-725859;Ceftriaxona sódica - pó para solução injetável 500 mg fr-amp. EV;Ceftriaxona sódica;500 mg;pó para solução injetável;;CTA/CEM/UBS;;injetável;ativo
23/09/2026;BAR-BDB5D5;Ceftriaxona Sódica 1 g solução injetável EV - pó;Ceftriaxona Sódica;1 g;solução injetável;;UPA;;injetável;ativo
23/09/2026;BAR-967014;Cetoprofeno - solução injetável 50mg/mL;Cetoprofeno;50mg/mL;solução injetável;;CTA/CEM/UBS/CAPS;;injetável;ativo
23/09/2026;BAR-1BC03C;Cetoprofeno I.m 50 mg/mL-2 mL - ampola;Cetoprofeno I.m;50 mg/mL;;ampola;UPA;;;ativo
23/09/2026;BAR-FAF088;Cimetidina 150 mg/mL 12 mL - ampola;Cimetidina;150 mg/mL;;ampola;UPA;;;ativo
23/09/2026;BAR-7A509A;Ciprofloxacino 2 mL/100 mL - frasco;Ciprofloxacino;2 mL;;frasco;UPA;;;ativo
23/09/2026;BAR-C5B1E5;Ciprofloxacino cloridrato 500 mg - comprimido;Ciprofloxacino cloridrato;500 mg;comprimido;;UPA;;oral;ativo
23/09/2026;BAR-C98A1A;Ciprofloxacino, cloridrato - comprimido 500 mg;Ciprofloxacino, cloridrato;500 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-B9A667;Claritromicina - comprimido 500 mg;Claritromicina;500 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-FCE091;Claritromicina - suspensão oral 50 mg/mL;Claritromicina;50 mg/mL;suspensão oral;;UBS;;oral;ativo
23/09/2026;BAR-2DC897;Clindamicina, cloridrato - cápsula 300 mg;Clindamicina, cloridrato;300 mg;cápsula;;CTA/CEM;;oral;ativo
23/09/2026;BAR-F7E817;Clindamicina, Fosfato 150 mg/mL AMP 4 mL - ampola;Clindamicina, Fosfato;150 mg/mL;;ampola;UPA;;;ativo
23/09/2026;BAR-99189B;Clomipramina, cloridrato - comprimido 25 mg;Clomipramina, cloridrato;25 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-7EBD3F;Clonazepam - solução oral gotas 2,5 mg/mL (0,25%);Clonazepam;2,5 mg/mL (0,25%);solução oral;;UBS;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;oral;ativo
23/09/2026;BAR-36D122;Clonazepam 2,5 mg/mL-20 mL - gotas;Clonazepam;2,5 mg/mL;gotas;;UPA;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;;ativo
23/09/2026;BAR-214B6A;Clonidina 0,100 mg - comprimido;Clonidina;0,100 mg;comprimido;;UPA;;oral;ativo
23/09/2026;BAR-3388EE;Clonidina 150 mcg/mL 1 mL - ampola;Clonidina;150 mcg/mL;;ampola;UPA;;;ativo
23/09/2026;BAR-5DB648;Clopidogrel bissulfato 75 mg - comprimido;Clopidogrel bissulfato;75 mg;comprimido;;UPA;;oral;ativo
23/09/2026;BAR-27AAD6;Cloreto de Magnesio 10% AMP 10 mL - ampola;Cloreto de Magnesio;10%;;ampola;UPA;;;ativo
23/09/2026;BAR-328878;Cloreto de potássio - solução injetável 19,1%;Cloreto de potássio;19,1%;solução injetável;;CTA/CEM/UBS/CAPS;;injetável;ativo
23/09/2026;BAR-7114E0;Cloreto de Potássio 10% -10 mL - ampola;Cloreto de Potássio;10%;;ampola;UPA;;;ativo
23/09/2026;BAR-A850FF;Cloreto de Potássio 6% -100 mL - frasco;Cloreto de Potássio;6%;;frasco;UPA;;;ativo
23/09/2026;BAR-6EE6ED;Cloreto de Potássio Xarope 6% -150 mL - frasco;Cloreto de Potássio;6%;xarope;frasco;UPA;;oral;ativo
23/09/2026;BAR-4F7C79;Cloreto de sódio - solução injetável 0,9 % 100 mL sistema fechado;Cloreto de sódio;0,9 %;solução injetável;;CTA/CEM/UBS/CAPS;;injetável;ativo
23/09/2026;BAR-98C11B;Cloreto de sódio - solução injetável 0,9 % 500 mL sistema fechado;Cloreto de sódio;0,9 %;solução injetável;;CTA/CEM/UBS/CAPS;;injetável;ativo
23/09/2026;BAR-07C55C;Cloreto de sódio - solução injetável 20%;Cloreto de sódio;20%;solução injetável;;CTA/CEM/UBS/CAPS;;injetável;ativo
23/09/2026;BAR-6D432A;Cloreto de sódio - solução nasal 0,9%;Cloreto de sódio;0,9%;solução nasal;;UBS;;nasal;ativo
23/09/2026;BAR-A71324;Cloreto de Sódio 0,9% - 100 mL - bolsa;Cloreto de Sódio;0,9%;;bolsa;UPA;;;ativo
23/09/2026;BAR-628C04;Cloreto de Sódio 0,9% - 250 mL - bolsa;Cloreto de Sódio;0,9%;;bolsa;UPA;;;ativo
23/09/2026;BAR-8D956E;Cloreto de Sódio 0,9% - 500 mL - bolsa;Cloreto de Sódio;0,9%;;bolsa;UPA;;;ativo
23/09/2026;BAR-952478;Cloreto de Sódio 10% - 10 mL - ampola;Cloreto de Sódio;10%;;ampola;UPA;;;ativo
23/09/2026;BAR-CD3786;Cloreto de Sódio 20% - 10 mL - ampola;Cloreto de Sódio;20%;;ampola;UPA;;;ativo
23/09/2026;BAR-FE0713;Clorpromazina 100 mg - comprimido;Clorpromazina;100 mg;comprimido;;UPA;;oral;ativo
23/09/2026;BAR-E01B37;Clorpromazina 5 mg/mL-5 mL mL - ampola;Clorpromazina;5 mg/mL;;ampola;UPA;;;ativo
23/09/2026;BAR-FA2BCD;Clorpromazina, cloridrato - comprimido 100 mg;Clorpromazina, cloridrato;100 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-22C741;Clorpromazina, cloridrato - comprimido 25 mg;Clorpromazina, cloridrato;25 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-43FDE6;Clorpromazina, cloridrato - solução injetável 5 mg/mL;Clorpromazina, cloridrato;5 mg/mL;solução injetável;;CTA/CEM/UBS/CAPS;;injetável;ativo
23/09/2026;BAR-9F7D96;Clorpromazina, cloridrato - solução oral gotas 40 mg/mL (4%);Clorpromazina, cloridrato;40 mg/mL (4%);solução oral;;UBS;;oral;ativo
23/09/2026;BAR-EFFCCB;Colagenase + Cloranfenicol 0,6U/G +0,01 g/G - 30 g - pomada;Colagenase + Cloranfenicol 0,6U/G +;0,01 g;pomada;;UPA;;tópica;ativo
23/09/2026;BAR-9D5E2E;Colagenase - pomada 0,6U/g;Colagenase;;pomada;;UBS;;tópica;ativo
23/09/2026;BAR-9BFDE7;Dapsona - comprimido 100 mg;Dapsona;100 mg;comprimido;;CTA/CEM;;oral;ativo
23/09/2026;BAR-E3200F;Darunavir (DRV) - comprimido 600 mg;Darunavir (DRV);600 mg;comprimido;;CTA/CEM;;oral;ativo
23/09/2026;BAR-944F5F;Darunavir (DRV) - comprimido 75 mg;Darunavir (DRV);75 mg;comprimido;;CTA/CEM;;oral;ativo
23/09/2026;BAR-EE4AF7;Darunavir (DRV) - comprimido 800 mg;Darunavir (DRV);800 mg;comprimido;;CTA/CEM;;oral;ativo
23/09/2026;BAR-ECEB4C;Darunavir (DRV) - comprimido150 mg;Darunavir (DRV);150 mg;comprimido;;CTA/CEM;;oral;ativo
23/09/2026;BAR-069BE9;Deslanosídeo 0,2 mg/2 mL - ampola;Deslanosídeo;0,2 mg/2 mL;;ampola;UPA;;;ativo
23/09/2026;BAR-3AD07B;Dexametasona - comprimido 4mg;Dexametasona;4mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-2A8223;Dexametasona - creme 1 mg/g (0,1%);Dexametasona;1 mg/g (0,1%);creme;;UBS;;tópica;ativo
23/09/2026;BAR-0357FB;Dexametasona fosfato 4 mg/2,5 mL - ampola;Dexametasona fosfato;4 mg/2,5 mL;;ampola;UPA;;;ativo
23/09/2026;BAR-1CD20E;Dexametasona, fosfato dissódico - solução injetável 4 mg/mL;Dexametasona, fosfato dissódico;4 mg/mL;solução injetável;;CTA/CEM/UBS/CAPS;;injetável;ativo
23/09/2026;BAR-665DBA;Dexclorfeniramina 0,4 mg/mL FR 100 mL - xarope;Dexclorfeniramina;0,4 mg/mL;xarope;;UPA;;oral;ativo
23/09/2026;BAR-823184;Dexclorfeniramina, maleato - comprimido 2mg;Dexclorfeniramina, maleato;2mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-CDBE03;Dexclorfeniramina, maleato - solução oral 0,4 mg/mL;Dexclorfeniramina, maleato;0,4 mg/mL;solução oral;;UBS;;oral;ativo
23/09/2026;BAR-3CDD50;Diazepam - comprimido 10 mg;Diazepam;10 mg;comprimido;;UBS;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;oral;ativo
23/09/2026;BAR-E4311E;Diazepam - solução injetável 5mg/mL;Diazepam;5mg/mL;solução injetável;;CTA/CEM/UBS/CAPS;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;injetável;ativo
23/09/2026;BAR-49D91D;Diazepam 10 mg - comprimido;Diazepam;10 mg;comprimido;;UPA;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;oral;ativo
23/09/2026;BAR-1C74AF;Diazepam 5 mg - comprimido;Diazepam;5 mg;comprimido;;UPA;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;oral;ativo
23/09/2026;BAR-B84BD6;Diazepam 5 mg/mL - 2 mL - ampola;Diazepam;5 mg/mL;;ampola;UPA;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;;ativo
23/09/2026;BAR-E7EA0E;Diclofenaco Sódico 25 mg - 3 mL - ampola;Diclofenaco Sódico;25 mg;;ampola;UPA;;;ativo
23/09/2026;BAR-CABFAE;Dieta Fresubin 1.2 Hp Fibre Eb 1000ml - frasco;Dieta Fresubin 1.2 Hp Fibre Eb;1000ml;;frasco;UPA;;;ativo
23/09/2026;BAR-333147;Dieta Fresubin Energy Frutas - frasco;Dieta Fresubin Energy Frutas - frasco;;;frasco;UPA;;;ativo
23/09/2026;BAR-A34700;Dieta FRESUBIN ORIGINAL 100 mL - frasco;Dieta FRESUBIN ORIGINAL;100 mL;;frasco;UPA;;;ativo
23/09/2026;BAR-378A51;Digoxina - comprimido 0,25 mg;Digoxina;0,25 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-1798EE;Digoxina 0,25 mg - comprimido;Digoxina;0,25 mg;comprimido;;UPA;;oral;ativo
23/09/2026;BAR-497181;Dipirona sódica - comprimido 500 mg;Dipirona sódica;500 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-DF601D;Dipirona sódica - solução injetável 500 mg/mL;Dipirona sódica;500 mg/mL;solução injetável;;CTA/CEM/UBS/CAPS;;injetável;ativo
23/09/2026;BAR-138190;Dipirona sódica - solução oral gotas 500 mg/mL;Dipirona sódica;500 mg/mL;solução oral;;UBS;;oral;ativo
23/09/2026;BAR-0A8FE8;Dipirona Sódica 500 mg - comprimido;Dipirona Sódica;500 mg;comprimido;;UPA;;oral;ativo
23/09/2026;BAR-9BC48B;Dipirona Sódica 500 mg/mL - 10 mL - gotas;Dipirona Sódica;500 mg/mL;gotas;;UPA;;;ativo
23/09/2026;BAR-E3ADA8;Dipirona Sódica 500 mg/mL- 2 mL - ampola;Dipirona Sódica;500 mg/mL;;ampola;UPA;;;ativo
23/09/2026;BAR-96C1C7;Dispositivo intra uterino (DIU) - DIU com Cobre modelo T 380 mm2;Dispositivo intra uterino (DIU) - DIU com Cobre modelo T 380 mm2;;;;CAF;;;ativo
23/09/2026;BAR-C02AF5;Dobutamina 250 mg - 20 mL - ampola;Dobutamina;250 mg;;ampola;UPA;;;ativo
23/09/2026;BAR-0BCC4B;Dolutegravir (DTG) - comprimido 50 mg;Dolutegravir (DTG);50 mg;comprimido;;CTA/CEM;;oral;ativo
23/09/2026;BAR-2FFE93;Dopamina 5 mg/mL - 10 mL - ampola;Dopamina;5 mg/mL;;ampola;UPA;;;ativo
23/09/2026;BAR-F46721;Efavirenz (EFZ) - cápsula 200 mg;Efavirenz (EFZ);200 mg;cápsula;;CTA/CEM;;oral;ativo
23/09/2026;BAR-8E185C;Efavirenz (EFZ) - comprimido 600 mg;Efavirenz (EFZ);600 mg;comprimido;;CTA/CEM;;oral;ativo
23/09/2026;BAR-0DB99B;Efavirenz (EFZ) - solução oral 30 mg/mL;Efavirenz (EFZ);30 mg/mL;solução oral;;CTA/CEM;;oral;ativo
23/09/2026;BAR-F1FFC1;Efavirenz + Lamivudina + Tenofovir desoproxila - Comprimido 600+300+300 mg;Efavirenz + Lamivudina + Tenofovir desoproxila;600+300+300 mg;comprimido;;CTA/CEM;;oral;ativo
23/09/2026;BAR-7A2579;Efedrina 50 mg - 10 mL - ampola;Efedrina;50 mg;;ampola;UPA;;;ativo
23/09/2026;BAR-B2504B;Efedrina 50 mg/1 mL - ampola;Efedrina;50 mg/1 mL;;ampola;UPA;;;ativo
23/09/2026;BAR-55A429;Enalapril, maleato - comprimido 10 mg;Enalapril, maleato;10 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-6E8B99;Enalapril, maleato - comprimido 20 mg;Enalapril, maleato;20 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-1BC818;Enfuvirtida - pó liofílico para injetável 90 mg/mL;Enfuvirtida;90 mg/mL;pó;;CTA/CEM;;;ativo
23/09/2026;BAR-0852E9;Enoxaparina sódica 20 mg -2,2 mL - seringa;Enoxaparina sódica;20 mg;;seringa;UPA;;;ativo
23/09/2026;BAR-A88DA0;Enoxaparina sódica 40 mg - 0,4 mL - seringa;Enoxaparina sódica;40 mg;;seringa;UPA;;;ativo
23/09/2026;BAR-3E775D;Enoxaparina sódica 60 mg - 0,6 mL - seringa;Enoxaparina sódica;60 mg;;seringa;UPA;;;ativo
23/09/2026;BAR-C3D102;Entricitabina + Tenofovir desoproxila - Comprimido 200 + 245 (300 mg de fumarato de Tenofovir);Entricitabina + Tenofovir desoproxila;300 mg;comprimido;;CTA/CEM;;oral;ativo
23/09/2026;BAR-19F89F;Epinefrina bitartarato 0,001 mg-mL - ampola;Epinefrina bitartarato;0,001 mg;;ampola;UPA;;;ativo
23/09/2026;BAR-2791AD;Escetamina 50 mg/mL - ampola;Escetamina;50 mg/mL;;ampola;UPA;;;ativo
23/09/2026;BAR-81D2C4;Escopolamina butilbrometo + Dipirona sódica 10 mg+250 mg - comprimido;Escopolamina butilbrometo + Dipirona sódica;10 mg +250 mg;comprimido;;UPA;;oral;ativo
23/09/2026;BAR-590B11;Escopolamina butilbrometo + Dipirona sódica 4 mg/mL+500 mg/mL AMP 5 mL - ampola;Escopolamina butilbrometo + Dipirona sódica;4 mg/mL +500 mg/mL;;ampola;UPA;;;ativo
23/09/2026;BAR-9D0EC2;Escopolamina butilbrometo 20 mg/mL - 1 mL - ampola;Escopolamina butilbrometo;20 mg/mL;;ampola;UPA;;;ativo
23/09/2026;BAR-FCC1A1;Escopolamina, butilbrometo - solução injetável 20 mg/mL;Escopolamina, butilbrometo;20 mg/mL;solução injetável;;CTA/CEM/UBS/CAPS;;injetável;ativo
23/09/2026;BAR-5D438B;Espiramicina - comprimido 500 mg (equivalente a 1.500.000 UI);Espiramicina;500 mg;comprimido;;CTA/CEM;;oral;ativo
23/09/2026;BAR-38E91A;Espironolactona - comprimido 25 mg;Espironolactona;25 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-EA824C;Espironolactona 25 mg - comprimido;Espironolactona;25 mg;comprimido;;UPA;;oral;ativo
23/09/2026;BAR-1FB251;Estavudina - cápsula 30 mg;Estavudina;30 mg;cápsula;;CTA/CEM;;oral;ativo
23/09/2026;BAR-823D73;Estreptomicina, sulfato - pó para solução injetável 1 g + diluente fr-amp.;Estreptomicina, sulfato;1 g;pó para solução injetável;;CTA/CEM;;injetável;ativo
23/09/2026;BAR-513E95;Etambutol, cloridrato - comprimido 400 mg;Etambutol, cloridrato;400 mg;comprimido;;CTA/CEM;;oral;ativo
